"filename", "language", "JavaScript", "TypeScript React", "Markdown", "JSON", "Properties", "Objective-C", "C++", "Groovy", "YAML", "Batch", "XML", "Java", "comment", "blank", "total"
"/Users/marcdertiger/Projects/DistanceNB/android/gradle/wrapper/gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/marcdertiger/Projects/DistanceNB/android/gradlew.bat", "Batch", 0, 0, 0, 0, 0, 0, 0, 0, 0, 76, 0, 0, 0, 25, 101
"/Users/marcdertiger/Projects/DistanceNB/android/settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 1, 16
"/Users/marcdertiger/Projects/DistanceNB/app.json", "JSON", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/Users/marcdertiger/Projects/DistanceNB/babel.config.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/marcdertiger/Projects/DistanceNB/index.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 10
"/Users/marcdertiger/Projects/DistanceNB/ios/DistanceNB/AppDelegate.h", "C++", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 4, 9
"/Users/marcdertiger/Projects/DistanceNB/ios/DistanceNB/AppDelegate.m", "Objective-C", 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 11, 59
"/Users/marcdertiger/Projects/DistanceNB/ios/DistanceNB/Base.lproj/LaunchScreen.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 1, 43
"/Users/marcdertiger/Projects/DistanceNB/ios/DistanceNB/Images.xcassets/AppIcon.appiconset/Contents.json", "JSON", 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 54
